"subjectID","trial","roi","meanPE","sdPE","run"
"FP001",24,"vmPFC",0.000780186,4.06089,"run1"
"FP001",25,"vmPFC",0.0527894,6.3556,"run1"
"FP001",26,"vmPFC",2.84301,5.99325,"run1"
"FP001",27,"vmPFC",0.0702245,5.66447,"run1"
"FP001",28,"vmPFC",-0.11422,3.49141,"run1"
"FP001",29,"vmPFC",-0.597478,2.66534,"run1"
"FP001",30,"vmPFC",1.41435,5.6725,"run1"
"FP001",31,"vmPFC",-0.703645,2.71107,"run1"
"FP001",32,"vmPFC",0.0132504,2.73448,"run1"
"FP001",33,"vmPFC",-0.596792,2.98451,"run1"
"FP001",34,"vmPFC",1.8395,4.9846,"run1"
"FP001",35,"vmPFC",2.13858,4.80882,"run1"
"FP001",36,"vmPFC",-0.46185,3.26553,"run1"
"FP001",1,"vmPFC",-2.30601,7.31865,"run2"
"FP001",2,"vmPFC",-0.558626,4.06321,"run2"
"FP001",3,"vmPFC",-0.301296,4.22491,"run2"
"FP001",4,"vmPFC",-1.06157,5.53675,"run2"
"FP001",5,"vmPFC",-0.796402,4.99947,"run2"
"FP001",6,"vmPFC",0.827937,6.71052,"run2"
"FP001",7,"vmPFC",-0.379657,2.48089,"run2"
"FP001",8,"vmPFC",-1.58424,6.69623,"run2"
"FP001",9,"vmPFC",0.446638,5.37296,"run2"
"FP001",10,"vmPFC",-0.481882,3.74255,"run2"
"FP001",11,"vmPFC",-0.130013,2.22856,"run2"
"FP001",12,"vmPFC",1.05067,2.8636,"run2"
"FP001",13,"vmPFC",-0.719809,5.19537,"run2"
"FP001",14,"vmPFC",0.309624,5.75459,"run2"
"FP001",15,"vmPFC",-0.925835,3.75168,"run2"
"FP001",16,"vmPFC",-1.38892,4.23548,"run2"
"FP001",17,"vmPFC",-0.5681,3.27212,"run2"
"FP001",18,"vmPFC",-1.1512,2.35474,"run2"
"FP001",19,"vmPFC",-2.05423,5.51989,"run2"
"FP001",20,"vmPFC",-2.01458,4.79192,"run2"
"FP001",21,"vmPFC",0.383691,4.65455,"run2"
"FP001",22,"vmPFC",-0.553832,2.2064,"run2"
"FP001",23,"vmPFC",0.67942,1.87279,"run2"
"FP001",24,"vmPFC",1.69909,4.10799,"run2"
"FP001",25,"vmPFC",-0.279016,6.33223,"run2"
"FP001",26,"vmPFC",-3.14941,16.0292,"run2"
"FP001",27,"vmPFC",-4.70897,11.9059,"run2"
"FP001",28,"vmPFC",-5.35539,9.46676,"run2"
"FP001",29,"vmPFC",0.113105,6.79888,"run2"
"FP001",30,"vmPFC",1.21621,6.8845,"run2"
"FP001",31,"vmPFC",-2.88721,5.13302,"run2"
"FP001",32,"vmPFC",-0.759332,7.68831,"run2"
"FP001",33,"vmPFC",-1.0655,6.1265,"run2"
"FP001",34,"vmPFC",-5.79809,14.3115,"run2"
"FP001",35,"vmPFC",-0.0168127,0.0902475,"run2"
"FP001",36,"vmPFC",-14.9157,162.909,"run2"
"FP001",1,"VS",0.305594,7.77441,"run1"
"FP001",2,"VS",-0.267117,6.93158,"run1"
"FP001",3,"VS",-0.26327,4.33593,"run1"
"FP001",4,"VS",0.891094,8.06058,"run1"
"FP001",5,"VS",-0.423966,7.15428,"run1"
"FP001",6,"VS",-1.99497,12.3364,"run1"
"FP001",7,"VS",0.47495,8.69052,"run1"
"FP001",8,"VS",-1.36224,6.40386,"run1"
"FP001",9,"VS",-0.0329109,9.01338,"run1"
"FP001",10,"VS",0.30317,8.17122,"run1"
"FP001",11,"VS",0.419333,4.63578,"run1"
"FP001",12,"VS",-0.0363729,6.08271,"run1"
"FP001",13,"VS",0.440598,7.32165,"run1"
"FP001",14,"VS",-0.121556,9.97915,"run1"
"FP001",15,"VS",1.17891,9.76299,"run1"
"FP001",16,"VS",0.0274137,6.61635,"run1"
"FP001",17,"VS",0.222775,8.5373,"run1"
"FP001",18,"VS",1.0356,6.78702,"run1"
"FP001",19,"VS",0.769127,12.8865,"run1"
"FP001",20,"VS",-0.285411,6.93729,"run1"
"FP001",21,"VS",0.0821315,7.59083,"run1"
"FP001",22,"VS",-0.235171,8.79418,"run1"
"FP001",23,"VS",0.939215,4.97765,"run1"
"FP001",24,"VS",-1.50358,9.45485,"run1"
"FP001",25,"VS",-0.253797,10.8239,"run1"
"FP001",26,"VS",0.724474,7.17746,"run1"
"FP001",27,"VS",0.00793039,9.24942,"run1"
"FP001",28,"VS",0.77585,6.10323,"run1"
"FP001",29,"VS",0.375056,4.90521,"run1"
"FP001",30,"VS",0.354321,11.9676,"run1"
"FP001",31,"VS",-0.448593,4.83139,"run1"
"FP001",32,"VS",0.00512243,3.62818,"run1"
"FP001",33,"VS",-0.619584,5.87533,"run1"
"FP001",34,"VS",0.877554,8.02995,"run1"
"FP001",35,"VS",-0.259311,6.92202,"run1"
"FP001",36,"VS",-0.210502,6.05251,"run1"
"FP001",1,"VS",-0.344539,13.1128,"run2"
"FP001",2,"VS",0.521966,7.51922,"run2"
"FP001",3,"VS",-0.549078,8.22535,"run2"
