"subjectID","wave","task","run","nVols","percent"
"FP077",1,"SVC",2,0,0
"FP078",1,"SVC",1,0,0
"FP078",1,"SVC",2,0,0
"FP079",1,"SVC",1,5,4.1
"FP079",1,"SVC",2,1,0.8
"FP080",1,"SVC",1,6,4.9
"FP080",1,"SVC",2,0,0
"FP081",1,"SVC",1,0,0
"FP081",1,"SVC",2,0,0
"FP082",1,"SVC",1,0,0
"FP082",1,"SVC",2,0,0
"FP084",1,"SVC",1,2,1.6
"FP084",1,"SVC",2,0,0
"FP085",1,"SVC",1,4,3.3
"FP085",1,"SVC",2,6,4.9
"FP086",1,"SVC",1,4,3.3
"FP086",1,"SVC",2,8,6.6
"FP087",1,"SVC",1,0,0
"FP087",1,"SVC",2,2,1.6
"FP088",1,"SVC",1,0,0
"FP088",1,"SVC",2,13,10.7
"FP089",1,"SVC",1,14,11.5
"FP089",1,"SVC",2,9,7.4
"FP090",1,"SVC",1,0,0
"FP090",1,"SVC",2,0,0
"FP091",1,"SVC",1,10,8.2
"FP091",1,"SVC",2,28,23
"FP092",1,"SVC",1,2,1.6
"FP092",1,"SVC",2,0,0
"FP093",1,"SVC",1,3,2.5
"FP093",1,"SVC",2,0,0
"FP094",1,"SVC",1,0,0
"FP094",1,"SVC",2,0,0
"FP095",1,"SVC",1,1,0.8
"FP095",1,"SVC",2,0,0
"FP096",1,"SVC",1,4,3.3
"FP096",1,"SVC",2,0,0
"FP097",1,"SVC",1,0,0
"FP097",1,"SVC",2,0,0
"FP098",1,"SVC",1,0,0
"FP098",1,"SVC",2,0,0
"FP100",1,"SVC",1,0,0
"FP100",1,"SVC",2,0,0
"FP101",1,"SVC",1,0,0
"FP101",1,"SVC",2,0,0
"FP102",1,"SVC",1,0,0
"FP102",1,"SVC",2,0,0
"FP103",1,"SVC",1,11,9
"FP103",1,"SVC",2,1,0.8
"FP104",1,"SVC",1,0,0
"FP104",1,"SVC",2,0,0
"FP106",1,"SVC",1,8,6.6
"FP106",1,"SVC",2,22,18
"FP107",1,"SVC",1,0,0
"FP107",1,"SVC",2,0,0
"FP109",1,"SVC",1,0,0
"FP109",1,"SVC",2,0,0
"FP110",1,"SVC",1,0,0
"FP110",1,"SVC",2,0,0
"FP111",1,"SVC",1,0,0
"FP111",1,"SVC",2,0,0
"FP112",1,"SVC",1,0,0
"FP112",1,"SVC",2,0,0
"FP113",1,"SVC",1,0,0
"FP113",1,"SVC",2,0,0
"FP114",1,"SVC",1,4,3.3
"FP115",1,"SVC",1,0,0
"FP115",1,"SVC",2,0,0
"FP119",1,"SVC",1,0,0
"FP119",1,"SVC",2,0,0
"FP120",1,"SVC",1,0,0
"FP120",1,"SVC",2,0,0
"FP121",1,"SVC",1,0,0
"FP121",1,"SVC",2,0,0
"FP122",1,"SVC",1,2,1.6
"FP122",1,"SVC",2,1,0.8
